School Number,,School Name,English Reading 2018-2019 Adv Pass Rate,Writing 2018-2019 Adv Pass Rate,Geography 2018-2019 Adv Pass Rate,VA & US History 2018-2019 Adv Pass Rate,World History I 2018-2019 Adv Pass Rate,World History II 2018-2019 Adv Pass Rate,Algebra I 2018-2019 Adv Pass Rate,Algebra II 2018-2019 Adv Pass Rate,Geometry 2018-2019 Adv Pass Rate,Biology 2018-2019 Adv Pass Rate,Chemistry 2018-2019 Adv Pass Rate,Earth Science 2018-2019 Adv Pass Rate,Standard Diploma ,Advanced Studies Diploma ,Other Diploma ,Certificate of Program Completion ,GED Certificate ,ISAEP3,Total Graduates2 and Completers 2019-2020,Attending Two-year Colleges,Attending Four-year Colleges,Other Continuing Education Plans,Employment,Military,No Plans,Division Name,Jurisdiction,"Population estimates, July 1, 2019, (V2019)","Female persons, percent","White alone, percent","Black or African American alone, percent(a)","American Indian and Alaska Native alone, percent(a)","Asian alone, percent(a)","Hispanic or Latino, percent(b)","Owner-occupied housing unit rate, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Population per square mile, 2010"
250,,Skyline High,7,10,0,2,7,5,0,10,,7,0,4,111,105,7,8,,,231,81,59,16,68,7,,Warren County  ,"Warren County, Virginia",40164,0.502,0.905,0.05,0.006,0.013,0.053,0.767,0.904,0.832,0.869,0.217,69116,32086,0.097,176
230,,Warren County High,0,17,0,0,7,,15,0,7,21,10,0,99,87,14,,,,200,60,53,16,46,15,10,Warren County  ,"Warren County, Virginia",40164,0.502,0.905,0.05,0.006,0.013,0.053,0.767,0.904,0.832,0.869,0.217,69116,32086,0.097,176
1030,,Abingdon High,19,14,8,9,48,0,0,5,3,2,9,15,95,110,8,,,3,216,82,82,9,31,8,4,Washington County  ,"Washington County, Virginia",53740,0.507,0.967,0.015,0.002,0.005,0.016,0.752,0.848,0.754,0.857,0.228,48495,27524,0.123,97.8
1060,,Holston High,10,0,8,5,,0,,,17,0,13,14,39,28,1,,,,68,8,33,2,16,3,6,Washington County  ,"Washington County, Virginia",53740,0.507,0.967,0.015,0.002,0.005,0.016,0.752,0.848,0.754,0.857,0.228,48495,27524,0.123,97.8
1040,,John S. Battle High,0,16,4,0,,17,0,25,0,50,5,17,82,72,1,,2,1,158,67,50,,38,3,,Washington County  ,"Washington County, Virginia",53740,0.507,0.967,0.015,0.002,0.005,0.016,0.752,0.848,0.754,0.857,0.228,48495,27524,0.123,97.8
1050,,Patrick Henry High,0,4,4,0,0,0,0,0,,17,9,,63,46,5,,,1,115,53,22,,37,2,1,Washington County  ,"Washington County, Virginia",53740,0.507,0.967,0.015,0.002,0.005,0.016,0.752,0.848,0.754,0.857,0.228,48495,27524,0.123,97.8
120,,Washington & Lee High,17,6,,0,0,7,8,0,17,1,10,16,65,43,3,,,,111,33,35,4,24,7,8,Westmoreland County  ,"Westmoreland County, Virginia",18015,0.512,0.692,0.261,0.008,0.009,0.069,0.732,0.858,0.749,0.845,0.192,53853,32996,0.159,76.1
1000,,Central High,10,,5,12,21,7,17,14,10,,9,11,95,63,9,,,,167,52,54,7,47,6,1,Wise County  ,"Wise County, Virginia",37383,0.479,0.925,0.058,0.002,0.004,0.012,0.666,0.81,0.644,0.759,0.15,38888,21500,0.204,102.8
652,,Eastside High,0,19,29,6,6,14,0,30,20,4,6,,57,40,4,,,,101,8,71,7,7,5,3,Wise County  ,"Wise County, Virginia",37383,0.479,0.925,0.058,0.002,0.004,0.012,0.666,0.81,0.644,0.759,0.15,38888,21500,0.204,102.8
1010,,Union High,7,5,25,1,15,3,6,6,18,13,,38,70,95,8,,1,1,175,102,48,6,8,2,9,Wise County  ,"Wise County, Virginia",37383,0.479,0.925,0.058,0.002,0.004,0.012,0.666,0.81,0.644,0.759,0.15,38888,21500,0.204,102.8
760,,Fort Chiswell High,30,51,2,13,9,11,0,12,11,0,0,5,55,55,6,,,2,118,53,39,14,7,2,3,Wythe County  ,"Wythe County, Virginia",28684,0.511,0.946,0.03,0.002,0.006,0.014,0.78,0.81,0.71,0.862,0.19,49364,27381,0.128,63.3
721,,George Wythe High,32,32,5,18,23,28,43,26,4,0,0,33,37,60,1,,,,98,44,30,2,17,,5,Wythe County  ,"Wythe County, Virginia",28684,0.511,0.946,0.03,0.002,0.006,0.014,0.78,0.81,0.71,0.862,0.19,49364,27381,0.128,63.3
202,,Rural Retreat High,15,39,3,18,14,21,,13,5,28,10,2,40,35,,,2,,77,42,19,,16,,,Wythe County  ,"Wythe County, Virginia",28684,0.511,0.946,0.03,0.002,0.006,0.014,0.78,0.81,0.71,0.862,0.19,49364,27381,0.128,63.3
20,,Bruton High,16,14,0,20,4,12,13,6,11,49,47,10,49,62,2,,,,113,35,45,1,21,9,2,York County  ,"York County, Virginia",68280,0.509,0.754,0.138,0.005,0.061,0.069,0.713,0.948,0.901,0.947,0.471,92069,41201,0.051,624.8
332,,Grafton High,22,20,1,17,7,21,26,4,8,44,31,9,107,173,6,,,1,287,27,152,6,29,12,61,York County  ,"York County, Virginia",68280,0.509,0.754,0.138,0.005,0.061,0.069,0.713,0.948,0.901,0.947,0.471,92069,41201,0.051,624.8
230,,Tabb High,11,26,1,11,8,18,36,3,14,32,3,0,81,210,2,,,1,294,66,179,2,33,10,4,York County  ,"York County, Virginia",68280,0.509,0.754,0.138,0.005,0.061,0.069,0.713,0.948,0.901,0.947,0.471,92069,41201,0.051,624.8
30,,York High,12,14,1,13,2,12,16,4,0,9,0,18,78,166,7,,,,251,73,126,8,33,11,,York County  ,"York County, Virginia",68280,0.509,0.754,0.138,0.005,0.061,0.069,0.713,0.948,0.901,0.947,0.471,92069,41201,0.051,624.8
335,,York River Academy,0,0,,20,5,0,6,0,0,0,0,0,19,,,,,,19,10,1,6,2,,,York County  ,"York County, Virginia",68280,0.509,0.754,0.138,0.005,0.061,0.069,0.713,0.948,0.901,0.947,0.471,92069,41201,0.051,624.8
210,,T.C. Williams High,9,28,33,7,16,17,1,11,3,13,19,2,497,367,47,2,1,12,926,270,467,48,75,29,37,Alexandria City  ,"Alexandria city, Virginia",159428,0.518,0.622,0.218,0.002,0.059,0.167,0.433,0.957,0.915,0.93,0.631,100939,62679,0.103,9314.3
80,,Virginia High,21,4,0,11,0,3,12,6,6,0,1,2,88,59,21,,,2,170,62,52,4,37,3,12,Bristol City  ,"Bristol city, Virginia",16762,0.529,0.905,0.057,0,0.002,0.023,0.604,0.841,0.773,0.847,0.254,37500,23015,0.226,1370.6
62,,Parry McCluer High School,4,4,7,11,,8,3,3,13,2,0,5,43,20,,1,,,64,17,23,1,17,,6,Buena Vista City  ,"Buena Vista city, Virginia",6478,0.572,0.892,0.073,0.001,0.019,0.018,0.68,0.799,0.697,0.811,0.159,32455,21419,0.255,991.9
140,,Charlottesville High,34,1,24,25,1,10,28,0,3,15,21,5,111,160,22,,,,293,78,142,22,47,3,1,Charlottesville City  ,"Charlottesville city, Virginia",47266,0.516,0.706,0.188,0.002,0.071,0.055,0.428,0.924,0.843,0.911,0.549,59471,38328,0.241,4246.4
40,,Colonial Heights High,3,0,3,6,13,,14,5,0,12,5,0,79,124,4,,2,6,215,80,78,15,26,16,,Colonial Heights City  ,"Colonial Heights city, Virginia",17370,0.538,0.755,0.153,0.003,0.042,0.059,0.629,0.892,0.781,0.915,0.255,54550,28364,0.121,2315.3
